Date,Product,Price,Quantity,Total
2023/01/15,Product A,$25.00,10.0,250.0
15-01-2023,Product A,$25.00,10.0,250.0
"January 15, 2023",Product A,$25.00,,250.0
2023/01/16,Product B,30,5.0,150.0
16-01-2023,Product B,30,5.0,150.0
"January 16, 2023",Product B,30,5.0,150.0
2023/01/17,Product C,$15.50,7.0,108.5
17-01-2023,Product C,$15.50,7.0,108.5
"January 17, 2023",Product C,$15.50,7.0,108.5
2023/01/18,Product D,20,4.0,80.0
18-01-2023,Product D,20,,80.0
"January 18, 2023",Product D,20,4.0,80.0
"January 15, 2023",Product A,$25.00,,250.0
18-01-2023,Product D,20,,80.0
